ICD10_category;ICD10_name
A00;Cholera
A01;Typhoid and paratyphoid fevers
A02;Other salmonella infections
A03;Shigellosis
A04;Other bacterial intestinal infections
A05;Oth bacterial foodborne intoxications, NEC
A06;Amebiasis
A07;Other protozoal intestinal diseases
A08;Viral and other specified intestinal infections
A09;Infectious gastroenteritis and colitis, unspecified
A15;Respiratory tuberculosis
A18;Tuberculosis of other organs
A23;Brucellosis
A26;Erysipeloid
A28;Other zoonotic bacterial diseases, not elsewhere classified
A30;Leprosy [Hansen's disease]
A31;Infection due to other mycobacteria
A36;Diphtheria
A37;Whooping cough
A38;Scarlet fever
A39;Meningococcal infection
A40;Streptococcal sepsis
A41;Other sepsis
A42;Actinomycosis
A46;Erysipelas
A48;Other bacterial diseases, not elsewhere classified
A49;Bacterial infection of unspecified site
A50;Congenital syphilis
A51;Early syphilis
A52;Late syphilis
A53;Other and unspecified syphilis
A54;Gonococcal infection
A55;Chlamydial lymphogranuloma (venereum)
A56;Other sexually transmitted chlamydial diseases
A59;Trichomoniasis
A60;Anogenital herpesviral [herpes simplex] infections
A63;Oth predominantly sexually transmitted diseases, NEC
A64;Unspecified sexually transmitted disease
A66;Yaws
A68;Relapsing fevers
A69;Other spirochetal infections
A71;Trachoma
A74;Other diseases caused by chlamydiae
A77;Spotted fever [tick-borne rickettsioses]
A79;Other rickettsioses
A80;Acute poliomyelitis
A82;Rabies
A84;Tick-borne viral encephalitis
A85;Other viral encephalitis, not elsewhere classified
A87;Viral meningitis
A90;Dengue fever [classical dengue]
A99;Unspecified viral hemorrhagic fever
B00;Herpesviral [herpes simplex] infections
B01;Varicella [chickenpox]
B02;Zoster [herpes zoster]
B05;Measles
B06;Rubella [German measles]
B07;Viral warts
B08;Oth viral infect with skin and mucous membrane lesions, NEC
B09;Unsp viral infection with skin and mucous membrane lesions
B15;Acute hepatitis A
B16;Acute hepatitis B
B17;Other acute viral hepatitis
B18;Chronic viral hepatitis
B19;Unspecified viral hepatitis
B25;Cytomegaloviral disease
B26;Mumps
B27;Infectious mononucleosis
B30;Viral conjunctivitis
B33;Other viral diseases, not elsewhere classified
B34;Viral infection of unspecified site
B35;Dermatophytosis
B36;Other superficial mycoses
B37;Candidiasis
B43;Chromomycosis and pheomycotic abscess
B44;Aspergillosis
B48;Other mycoses, not elsewhere classified
B49;Unspecified mycosis
B50;Plasmodium falciparum malaria
B53;Other specified malaria
B54;Unspecified malaria
B58;Toxoplasmosis
B60;Other protozoal diseases, not elsewhere classified
B66;Other fluke infections
B68;Taeniasis
B70;Diphyllobothriasis and sparganosis
B71;Other cestode infections
B75;Trichinellosis
B76;Hookworm diseases
B77;Ascariasis
B80;Enterobiasis
B81;Other intestinal helminthiases, not elsewhere classified
B82;Unspecified intestinal parasitism
B83;Other helminthiases
B85;Pediculosis and phthiriasis
B86;Scabies
B88;Other infestations
B89;Unspecified parasitic disease
B90;Sequelae of tuberculosis
B91;Sequelae of poliomyelitis
B94;Sequelae of other and unsp infectious and parasitic diseases
B95;Strep as the cause of diseases classified elsewhere
B96;Oth bacterial agents as the cause of diseases classd elswhr
B97;Viral agents as the cause of diseases classified elsewhere
B99;Other and unspecified infectious diseases
C07;Malignant neoplasm of parotid gland
C08;Malignant neoplasm of other and unsp major salivary glands
C09;Malignant neoplasm of tonsil
C11;Malignant neoplasm of nasopharynx
C13;Malignant neoplasm of hypopharynx
C14;Malig neoplasm of sites in the lip, oral cavity and pharynx
C16;Malignant neoplasm of stomach
C17;Malignant neoplasm of small intestine
C18;Malignant neoplasm of colon
C19;Malignant neoplasm of rectosigmoid junction
C20;Malignant neoplasm of rectum
C21;Malignant neoplasm of anus and anal canal
C25;Malignant neoplasm of pancreas
